atleta_id,apelido,clube,posicao,status_pre,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,ippc_gm_mean,iro_gm,irp_gm,XP_min_para_valorizacao,adversário,ranking_clube,fase,media_movel_mandante,media_movel_visitante,media_movel,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,prob_sg_mandante,prob_sg_visitante,prob_SG,odds_home,odds_away,odds,mando,XP_mandante,XP_visitante,XP
78856,Marcão Silva,Cuiabá,MEI,Provável,2.3,0.5,-0.3,0.0,0.0,23.11594202898551,30.317460317460323,0.09615384615384616,0.0,0.7084159818645509,0.9,Atlético-GO,4,,0.0,0.5,0.5,0.4380166926672371,,0.4380166926672371,13.095588910926775,,13.095588910926775,2.26,,2.26,mandante,0.0,0.0,0.0
88087,Ramon Menezes,Atlético-GO,ZAG,Provável,3.58,0.4,-1.42,0.0,0.0,23.11594202898551,30.317460317460323,0.04,6.25,1.1111111111111112,1.39,Cuiabá,17,,0.4,0.0,0.4,,86.02754092025005,86.02754092025005,,96.76310731471165,96.76310731471165,,3.55,3.55,visitante,0.0,0.0,0.0
82764,Rafael Forster,Juventude,ZAG,Provável,3.67,0.3,-0.74,0.0,0.0,38.333333333333336,30.317460317460323,0.03401360544217687,2.78,1.1001100110011002,1.75,Botafogo,19,,0.3,0.0,0.3,,,,,,,,4.16,4.16,visitante,0.0,0.0,0.0
53148,Ytalo,Bragantino,ATA,Provável,6.89,0.3,-1.37,43.48,28.57142857142857,27.46376811594203,30.317460317460323,0.018159806295399514,4.76,0.6250000000000001,2.64,Ceará,7,,0.15,0.0,0.15,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
70116,Fellipe Bastos,Goiás,MEI,Provável,2.93,0.1,-0.51,0.0,0.0,16.956521739130434,30.317460317460323,0.01453488372093023,11.54,0.24576062914721056,1.08,Atlético-MG,18,,0.0,0.1,0.1,0.01355840460590111,,0.01355840460590111,0.09270040424884682,,0.09270040424884682,6.83,,6.83,mandante,0.0,0.0,0.0
91888,Kevin,Avaí,LAT,Provável,3.89,0.1,-0.49,0.0,0.0,25.869565217391305,31.42857142857143,0.011415525114155252,2.175,0.18670649738610906,1.35,Internacional,6,,0.1,0.0,0.1,,3.2309278884386914,3.2309278884386914,,0.3776537189437584,0.3776537189437584,,7.23,7.23,visitante,0.0,0.0,0.0
97133,Dudu,Atlético-GO,LAT,Provável,8.11,0.1,-0.92,43.105,0.0,33.405797101449274,30.317460317460323,0.005537098560354375,4.165,0.2777777777777778,2.19,Cuiabá,17,,0.1,0.0,0.1,,86.02754092025005,86.02754092025005,,96.76310731471165,96.76310731471165,,3.55,3.55,visitante,0.0,0.0,0.0
96652,Allan,Atlético-MG,MEI,Provável,3.55,0.1,-0.63,0.0,0.0,22.971014492753625,30.317460317460323,0.01196172248803828,2.94,0.1548467017652524,1.05,Goiás,2,,0.1,0.0,0.1,,90.0914853215436,90.0914853215436,,80.97892490050056,80.97892490050056,,1.54,1.54,visitante,0.0,0.0,0.0
77544,Jorginho,Atlético-GO,MEI,Provável,2.62,0.1,-0.27,0.0,0.0,18.768115942028984,30.317460317460323,0.017301038062283742,8.335,0.2777777777777778,0.64,Cuiabá,17,,0.1,0.0,0.1,,86.02754092025005,86.02754092025005,,96.76310731471165,96.76310731471165,,3.55,3.55,visitante,0.0,0.0,0.0
97537,Busanello,Juventude,LAT,Provável,7.8,0.0,0.0,33.785,0.0,38.333333333333336,30.317460317460323,0.0,5.555,0.0,2.82,Botafogo,19,,0.0,0.0,,,,,,,,,4.16,4.16,visitante,0.0,0.0,0.0
100761,Liziero,Internacional,MEI,Provável,5.42,0.0,0.0,0.0,0.0,26.3768115942029,30.317460317460323,0.0,0.0,0.0,1.68,Avaí,5,,0.0,0.0,,89.51181563905844,,89.51181563905844,22.72029544251965,,22.72029544251965,1.49,,1.49,mandante,0.0,0.0,0.0
100079,Zaracho,Atlético-MG,MEI,Provável,16.73,0.0,0.0,39.155,71.42857142857143,38.333333333333336,30.317460317460323,0.0,8.93,0.0,4.76,Goiás,2,,0.0,0.0,,,90.0914853215436,90.0914853215436,,80.97892490050056,80.97892490050056,,1.54,1.54,visitante,0.0,0.0,0.0
77959,Copete,Avaí,ATA,Provável,3.19,0.0,0.0,0.0,0.0,16.594202898550726,30.317460317460323,0.0,6.52,0.0,1.07,Internacional,6,,0.0,0.0,,,3.2309278884386914,3.2309278884386914,,0.3776537189437584,0.3776537189437584,,7.23,7.23,visitante,0.0,0.0,0.0
80196,Yago Pikachu,Fortaleza,MEI,Provável,9.8,0.0,0.0,36.365,28.57142857142857,20.94202898550725,30.317460317460323,0.0,10.0,,2.18,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
91733,Felipe,Fortaleza,MEI,Provável,6.13,0.0,0.0,0.0,0.0,33.98550724637681,30.317460317460323,0.0,0.0,,1.81,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
111333,Sorriso,Bragantino,ATA,Provável,6.75,0.0,0.0,43.48,28.57142857142857,27.46376811594203,30.317460317460323,0.0,4.76,0.0,2.59,Ceará,7,,0.0,0.0,,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
105584,Lucas Piton,Corinthians,LAT,Provável,15.06,0.0,-2.54,50.0,14.285714285714285,63.33333333333334,31.42857142857143,0.0,2.63,0.0,5.56,Fortaleza,3,,0.0,0.0,,,,,,,,1.85,,1.85,mandante,0.0,0.0,0.0
50353,Titi,Fortaleza,ZAG,Provável,5.31,0.0,0.0,0.0,0.0,27.46376811594203,30.317460317460323,0.0,5.0,,1.4,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
42500,Fagner,Corinthians,LAT,Provável,12.0,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,0.0,4.02,Fortaleza,3,,0.0,0.0,,,,,,,,1.85,,1.85,mandante,0.0,0.0,0.0
42234,Cássio,Corinthians,GOL,Provável,10.44,0.0,0.0,0.0,0.0,22.53623188405797,41.111111111111114,0.0,0.0,0.0,3.32,Fortaleza,3,,0.0,0.0,,,,,,,,1.85,,1.85,mandante,0.0,0.0,0.0
84338,Max Walef,Fortaleza,GOL,Provável,3.16,0.0,0.0,0.0,0.0,23.11594202898551,51.42857142857143,0.0,0.0,,1.18,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
100848,Luan Cândido,Bragantino,LAT,Provável,7.23,0.0,0.0,0.0,0.0,35.072463768115945,31.42857142857143,0.0,2.38,0.0,1.77,Ceará,7,,0.0,0.0,,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
109963,Renan,Bragantino,ZAG,Provável,2.97,0.0,0.0,0.0,0.0,31.81159420289855,30.317460317460323,0.0,0.0,0.0,1.34,Ceará,7,,0.0,0.0,,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
104666,Moisés,Fortaleza,ATA,Provável,3.6,0.0,0.0,0.0,0.0,24.20289855072464,30.317460317460323,0.0,10.0,,1.3,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
104754,Juan Vojvoda,Fortaleza,TEC,Provável,6.83,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,,,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
82628,Tinga,Fortaleza,LAT,Provável,4.23,0.0,0.0,0.0,0.0,18.768115942028984,30.317460317460323,0.0,5.0,,1.59,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
80583,Lucas Lima,Fortaleza,MEI,Provável,3.49,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,,0.93,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
80664,Michel,Ceará,LAT,Provável,5.0,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,,1.89,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
88597,Lucas Crispim,Fortaleza,MEI,Provável,3.47,0.0,0.0,0.0,0.0,19.85507246376812,30.317460317460323,0.0,0.0,,0.89,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
87402,Messias,Ceará,ZAG,Provável,3.92,0.0,0.0,0.0,0.0,22.02898550724637,30.317460317460323,0.0,11.11,,1.13,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
82766,Wellington Rato,Atlético-GO,MEI,Provável,8.96,0.0,-0.98,45.455,28.57142857142857,24.20289855072464,30.317460317460323,0.0,14.585,0.0,2.42,Cuiabá,17,,0.0,0.0,,,86.02754092025005,86.02754092025005,,96.76310731471165,96.76310731471165,,3.55,3.55,visitante,0.0,0.0,0.0
95638,Marcelo Benevenuto,Fortaleza,ZAG,Provável,7.17,0.0,0.0,0.0,0.0,36.15942028985507,30.317460317460323,0.0,0.0,,1.65,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
79188,Silvio Romero,Fortaleza,ATA,Provável,4.31,0.0,0.0,0.0,0.0,20.94202898550725,30.317460317460323,0.0,10.0,,1.02,Corinthians,20,,0.0,0.0,,,,,,,,,4.5,4.5,visitante,0.0,0.0,0.0
87747,Yago Felipe,Fluminense,MEI,Provável,7.19,0.0,0.0,0.0,0.0,33.98550724637681,30.317460317460323,0.0,1.725,0.0,1.84,Coritiba,13,,0.0,0.0,,,,,,,,,3.11,3.11,visitante,0.0,0.0,0.0
89668,Cris Silva,Fluminense,LAT,Provável,11.46,0.0,0.0,0.0,0.0,44.85507246376812,32.53968253968254,0.0,0.0,0.0,3.24,Coritiba,13,,0.0,0.0,,,,,,,,,3.11,3.11,visitante,0.0,0.0,0.0
104125,Cléber,Ceará,ATA,Provável,2.64,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,,0.78,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
86711,Richard Coelho,Ceará,MEI,Provável,4.88,0.0,0.0,0.0,0.0,32.89855072463768,30.317460317460323,0.0,0.0,,1.57,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
93787,Andrey,Coritiba,MEI,Provável,14.9,0.0,0.0,35.715,57.14285714285714,36.15942028985507,30.317460317460323,0.0,6.895,0.0,3.78,Fluminense,10,,0.0,0.0,,,,,,,,2.43,,2.43,mandante,0.0,0.0,0.0
92146,André Luís,Cuiabá,ATA,Provável,3.89,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,0.0,1.18,Atlético-GO,4,,0.0,0.0,,0.4380166926672371,,0.4380166926672371,13.095588910926775,,13.095588910926775,2.26,,2.26,mandante,0.0,0.0,0.0
113359,Pablo Maia,São Paulo,MEI,Provável,4.09,0.0,-0.62,0.0,0.0,30.72463768115942,30.317460317460323,0.0,0.0,0.0,1.33,Santos,11,,0.0,0.0,,,,,,,,1.65,,1.65,mandante,0.0,0.0,0.0
40990,Dorival Júnior,Ceará,TEC,Provável,6.5,0.0,0.0,0.0,0.0,23.11594202898551,30.317460317460323,0.0,0.0,,,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
90061,Bruno Pacheco,Ceará,LAT,Provável,8.72,0.0,0.0,0.0,0.0,44.85507246376812,30.317460317460323,0.0,0.0,,2.14,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
71162,Vina,Ceará,MEI,Provável,4.62,0.0,0.0,0.0,0.0,24.20289855072464,30.317460317460323,0.0,7.41,,1.47,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
42145,Egídio,Coritiba,LAT,Provável,16.12,0.0,0.0,30.49,0.0,48.11594202898551,31.42857142857143,0.0,5.17,0.0,4.23,Fluminense,10,,0.0,0.0,,,,,,,,2.43,,2.43,mandante,0.0,0.0,0.0
74061,Gatito Fernández,Botafogo,GOL,Provável,5.94,0.0,0.0,0.0,0.0,23.11594202898551,42.53968253968254,0.0,0.0,0.0,1.87,Juventude,12,,0.0,0.0,,,,,,,,1.92,,1.92,mandante,0.0,0.0,0.0
72294,Everson,Atlético-MG,GOL,Provável,12.59,0.0,-2.04,0.0,0.0,25.28985507246377,56.349206349206355,0.0,0.0,0.0,3.67,Goiás,2,,0.0,0.0,,,90.0914853215436,90.0914853215436,,80.97892490050056,80.97892490050056,,1.54,1.54,visitante,0.0,0.0,0.0
82381,Juninho,América-MG,MEI,Provável,6.07,0.0,-1.06,50.0,0.0,31.81159420289855,30.317460317460323,0.0,0.0,0.0,2.16,Athletico-PR,14,,0.0,0.0,,,,,,,,2.17,,2.17,mandante,0.0,0.0,0.0
81881,João Ricardo,Ceará,GOL,Provável,2.19,0.0,0.0,0.0,0.0,23.11594202898551,26.984126984126984,0.0,0.0,,0.44,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
95794,Nathan Silva,Atlético-MG,ZAG,Provável,10.48,0.0,0.0,0.0,0.0,36.15942028985507,32.53968253968254,0.0,0.0,0.0,2.96,Goiás,2,,0.0,0.0,,,90.0914853215436,90.0914853215436,,80.97892490050056,80.97892490050056,,1.54,1.54,visitante,0.0,0.0,0.0
72362,Rodrigo Lindoso,Ceará,MEI,Provável,4.92,0.0,0.0,0.0,0.0,28.550724637681164,30.317460317460323,0.0,0.0,,1.27,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
82407,Chico,Juventude,MEI,Provável,5.33,0.0,-0.85,0.0,0.0,21.30434782608696,30.317460317460323,0.0,2.78,0.0,1.83,Botafogo,19,,0.0,0.0,,,,,,,,,4.16,4.16,visitante,0.0,0.0,0.0
86536,Richardson,Ceará,MEI,Provável,2.43,0.0,0.0,0.0,0.0,22.02898550724637,30.317460317460323,0.0,0.0,,0.83,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
50297,Sidnei,Goiás,ZAG,Provável,5.64,0.0,0.0,0.0,0.0,32.89855072463768,30.317460317460323,0.0,0.0,0.0,1.39,Atlético-MG,18,,0.0,0.0,,0.01355840460590111,,0.01355840460590111,0.09270040424884682,,0.09270040424884682,6.83,,6.83,mandante,0.0,0.0,0.0
108176,Gabriel Lacerda,Ceará,ZAG,Provável,3.96,0.0,0.0,0.0,0.0,26.3768115942029,30.317460317460323,0.0,0.0,,1.42,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
101601,Caio,Goiás,MEI,Provável,2.67,0.0,0.0,0.0,0.0,19.85507246376812,30.317460317460323,0.0,3.845,0.0,0.98,Atlético-MG,18,,0.0,0.0,,0.01355840460590111,,0.01355840460590111,0.09270040424884682,,0.09270040424884682,6.83,,6.83,mandante,0.0,0.0,0.0
97810,Erick,Ceará,ATA,Provável,2.61,0.0,0.0,0.0,0.0,20.94202898550725,30.317460317460323,0.0,11.11,,0.8,Bragantino,15,,0.0,0.0,,12.507761124530044,,12.507761124530044,0.8127263956857741,,0.8127263956857741,2.15,,2.15,mandante,0.0,0.0,0.0
85626,Léo,São Paulo,ZAG,Provável,5.58,-0.1,-0.69,0.0,0.0,23.11594202898551,31.42857142857143,-0.007974481658692186,2.275,-0.19755037534571315,1.43,Santos,11,,0.0,0.0,,,,,,,,1.65,,1.65,mandante,0.0,0.0,0.0
50856,Henrique,Coritiba,ZAG,Provável,4.99,-0.2,-0.75,0.0,0.0,35.072463768115945,31.42857142857143,-0.017421602787456445,1.725,-0.3681207436039021,1.52,Fluminense,10,,0.0,0.0,,,,,,,,2.43,,2.43,mandante,0.0,0.0,0.0
102598,Helinho,Bragantino,ATA,Provável,4.5,-0.2,-0.71,0.0,0.0,20.94202898550725,30.317460317460323,-0.019193857965451058,4.76,-0.4166666666666667,1.21,Ceará,7,,-0.1,0.0,-0.1,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
94154,Maycon,Corinthians,MEI,Provável,5.34,-0.2,-0.95,0.0,0.0,30.65217391304348,30.317460317460323,-0.015898251192368842,15.265,-0.7451564828614008,1.7,Fortaleza,3,,0.0,-0.2,-0.2,,,,,,,1.85,,1.85,mandante,0.0,0.0,0.0
72532,Maguinho,Goiás,LAT,Provável,2.59,-0.2,-0.44,0.0,0.0,28.043478260869566,30.317460317460323,-0.033003300330033014,3.845,-0.4915212582944212,0.85,Atlético-MG,18,,0.0,-0.2,-0.2,0.01355840460590111,,0.01355840460590111,0.09270040424884682,,0.09270040424884682,6.83,,6.83,mandante,0.0,0.0,0.0
73465,Luccas Claro,Fluminense,ZAG,Provável,5.77,-0.3,-1.43,0.0,0.0,22.53623188405797,31.42857142857143,-0.02083333333333334,0.0,-1.2847965738758034,1.77,Coritiba,13,,-0.3,0.0,-0.3,,,,,,,,3.11,3.11,visitante,0.0,0.0,0.0
91203,Éder,América-MG,ZAG,Provável,1.87,-0.4,-0.45,0.0,0.0,16.52173913043478,30.317460317460323,-0.08620689655172413,0.0,-1.2598425196850394,0.53,Athletico-PR,14,,0.0,-0.4,-0.4,,,,,,,2.17,,2.17,mandante,0.0,0.0,0.0
97520,Shaylon,Atlético-GO,MEI,Provável,3.29,-0.6,-0.76,0.0,0.0,23.043478260869566,30.317460317460323,-0.07407407407407407,8.335,-1.6666666666666667,1.04,Cuiabá,17,,-0.6,0.0,-0.6,,86.02754092025005,86.02754092025005,,96.76310731471165,96.76310731471165,,3.55,3.55,visitante,0.0,0.0,0.0
111412,Arthur Chaves,Avaí,ZAG,Provável,3.45,-0.6,-0.68,0.0,0.0,19.71014492753623,31.42857142857143,-0.07263922518159806,0.0,-1.1202389843166545,1.41,Internacional,6,,-0.6,0.0,-0.6,,3.2309278884386914,3.2309278884386914,,0.3776537189437584,0.3776537189437584,,7.23,7.23,visitante,0.0,0.0,0.0
69034,Paulinho,Corinthians,MEI,Provável,11.49,-0.6,-3.04,50.0,14.285714285714285,20.797101449275363,30.317460317460323,-0.02064693737095664,2.63,-2.2354694485842024,3.22,Fortaleza,3,,0.0,0.0,,,,,,,,1.85,,1.85,mandante,0.0,0.0,0.0
101728,Diego,São Paulo,ZAG,Provável,6.93,-1.0,-1.07,0.0,0.0,22.971014492753625,31.42857142857143,-0.0625,4.9049999999999985,-1.9755037534571316,1.91,Santos,11,,0.0,0.0,,,,,,,,1.65,,1.65,mandante,0.0,0.0,0.0
85931,Hyoran,Bragantino,MEI,Provável,5.25,-1.0,-2.02,0.0,0.0,19.63768115942029,30.317460317460323,-0.06877579092159561,11.47,-2.083333333333333,1.81,Ceará,7,,-1.0,0.0,-1.0,,76.40767954344645,76.40767954344645,,9.796365492746757,9.796365492746757,,3.47,3.47,visitante,0.0,0.0,0.0
99214,Rodrigo Fernández,Santos,MEI,Provável,4.91,-1.5,-1.23,0.0,0.0,19.565217391304348,30.317460317460323,-0.12214983713355047,3.335,-1.4457831325301205,1.7,São Paulo,1,,-0.75,0.0,-0.75,,,,,,,,5.47,5.47,visitante,0.0,0.0,0.0
50317,David Braz,Fluminense,ZAG,Provável,6.39,-2.0,-2.2,0.0,0.0,8.840579710144928,31.42857142857143,-0.11641443538998834,5.17,-8.565310492505356,2.01,Coritiba,13,,-2.0,0.0,-2.0,,,,,,,,3.11,3.11,visitante,0.0,0.0,0.0
82453,Tadeu,Goiás,GOL,Provável,3.57,-2.0,-1.35,0.0,0.0,23.11594202898551,53.01587301587301,-0.2032520325203252,0.0,-4.915212582944212,1.39,Atlético-MG,18,,0.0,-2.0,-2.0,0.01355840460590111,,0.01355840460590111,0.09270040424884682,,0.09270040424884682,6.83,,6.83,mandante,0.0,0.0,0.0
72079,Bruno Cortez,Avaí,LAT,Provável,5.92,-2.1,-1.46,0.0,0.0,27.39130434782609,31.42857142857143,-0.14227642276422764,2.175,-3.92083644510829,1.64,Internacional,6,,-2.1,0.0,-2.1,,3.2309278884386914,3.2309278884386914,,0.3776537189437584,0.3776537189437584,,7.23,7.23,visitante,0.0,0.0,0.0
